id,startedAt,durationMs,total,passed,failed,skipped
01ece777-a024-46e9-bec7-397c69eb62a4,2026-08-21T10:55:31.121Z,489933,43,40,0,3
78b5bf4c-b872-40ab-9ef3-335bbd8edf9a,2026-08-21T06:55:33.927Z,481705,43,40,0,3
5b150b9b-66e7-41d7-b14d-fe7fb71e3636,2026-08-21T02:55:42.690Z,488159,43,40,0,3
b03381e5-b9ed-416f-8206-aca85b37e65e,2026-08-20T22:55:26.783Z,475922,43,40,0,3
4309301f-e4b9-4d95-9353-8eaa28a6ec74,2026-08-20T18:55:38.704Z,480267,43,40,0,3
ce390da0-1b0b-40d9-8e82-f3d7bfa2a696,2026-08-20T14:55:33.572Z,488642,43,40,0,3
d98b21a9-105a-4f58-8182-1d81bd4dae14,2026-08-20T10:55:33.856Z,477958,43,40,0,3
ba537f6f-fb0c-4a6f-b11e-22705879f5b4,2026-08-20T06:55:40.887Z,481822,43,40,0,3
74a0cdf3-1386-4d25-83b5-f9c04b1291f1,2026-08-20T02:55:45.209Z,470911,43,40,0,3
5af3ba33-428b-433e-995d-15fa5c3c244a,2026-08-19T23:01:50.531Z,496025,43,40,0,3
1d290094-e10a-4b01-9d01-0ebb33ed17e6,2026-08-19T19:27:01.358Z,480733,43,40,0,3
644b9c2e-be8d-45e8-8a3b-d3821e22e1f5,2026-08-19T15:07:35.626Z,493252,43,40,0,3
af7208c5-ac93-4b3f-a865-904c31aa9beb,2026-08-19T12:56:59.748Z,497955,43,40,0,3
b2a40c4e-513f-4a10-b4df-d888eaeaf652,2026-08-19T03:08:31.171Z,503696,43,40,0,3
c481b439-6489-4c77-b565-69f06f099879,2026-08-18T22:55:30.940Z,487480,43,40,0,3
102764e0-b100-4895-8691-ab7e8c2818de,2026-08-18T18:59:12.650Z,499553,43,40,0,3
66996a92-d28a-484d-9e77-4dbf6b3d84cd,2026-08-18T14:56:23.806Z,507026,43,40,0,3
9e633a64-ded4-4a77-bcc2-ea7f6523e9a7,2026-08-18T10:55:41.569Z,502741,43,40,0,3
8ae456bb-0df8-4320-846e-1fc9fdc8d421,2026-08-18T06:56:02.617Z,490211,43,40,0,3
02371dc8-d834-4a42-9617-3fc3ce5ef933,2026-08-18T06:16:32.311Z,496686,43,40,0,3
b025afbe-6d45-473a-839b-479beb8e50f0,2026-08-18T06:06:29.870Z,492615,43,40,0,3
c7356a49-9ad8-4ec7-8dd7-7dca48f91526,2026-08-18T05:56:29.839Z,464400,43,40,0,3
70405d14-1a8a-4fcc-886a-2dec2f71197f,2026-08-18T05:46:30.028Z,488955,43,40,0,3
b20453be-879e-4301-b717-3e363421cf19,2026-08-18T05:36:11.596Z,481836,43,40,0,3
75456b0e-a5c2-41b2-ad70-165f14e68bb0,2026-08-18T05:26:28.865Z,486784,43,40,0,3
7707ba8d-f148-4dce-9a21-fc00ce3d320b,2026-08-18T05:16:11.382Z,470688,43,40,0,3
b412f4a8-13f4-4135-8d33-9aac1afc17a2,2026-08-18T05:06:20.488Z,471840,43,40,0,3
c237c0cb-fc9c-4fe6-a043-6353c298bba0,2026-08-18T04:58:49.938Z,0,31,28,0,3
75bb769e-42c3-42ce-a0c6-d1fff731c0b4,2026-08-18T04:41:03.588Z,0,31,28,0,3
4ecd8b98-229e-4b05-b14e-094c046ecbb2,2026-08-14T13:29:28.029Z,0,31,28,0,3
1beaa7b7-c37b-42be-938a-772a31af0ef2,2026-08-14T12:13:29.339Z,0,31,28,0,3
048f7328-0c10-4062-b4c3-7c39adbeb8f4,2026-07-31T05:37:26.694Z,1563432,31,28,0,0
604f8bb6-903d-4098-a4b9-52cbba63629e,2026-07-31T03:40:26.615Z,1133918,31,26,4,0
46f85c80-d852-4162-8285-14ba1013a55e,2026-07-31T01:27:31.512Z,736127,31,30,1,0
c6d4e2c6-3ff4-4d69-93ed-1092949bd010,2026-07-30T23:27:30.931Z,740173,31,30,1,0
f1caa863-857f-4483-aabc-f221deac5eaa,2026-07-30T21:27:35.122Z,750514,31,30,1,0
5b9e056a-9a4d-4aca-84d6-38b9cb645e6f,2026-07-30T19:36:08.526Z,1306378,31,27,2,0
88216097-88de-47e6-8fa1-01f02b28e259,2026-07-30T17:27:34.751Z,730738,31,31,0,0
264119f5-3ac6-4734-ba1b-d7bb03e703f8,2026-07-30T15:27:23.900Z,746052,31,31,0,0
a86051cf-4ce8-436c-8c6b-882da6692674,2026-07-30T13:27:21.005Z,750802,31,31,0,0
918d958e-b4bd-4e12-9426-a578a0312425,2026-07-30T11:27:09.746Z,748776,31,31,0,0
758380cf-c8a1-4d8a-b9eb-af0a8e27d2e0,2026-07-30T09:29:08.359Z,766073,31,31,0,0
2041fd47-eefe-4488-98e8-d25091362b48,2026-07-30T07:27:38.695Z,747743,31,31,0,0
fe47bdc1-e4d4-4e79-a84e-c96479491d7f,2026-07-30T05:27:13.984Z,755898,31,31,0,0
9ebd7c48-531c-4421-aef9-8cd80a78c886,2026-07-30T03:27:06.221Z,693662,31,31,0,0
cf12d73c-4fa5-4f19-bd1b-287409c267fa,2026-07-30T01:27:17.414Z,756263,31,31,0,0
b6692cba-410c-4214-849b-bffeb3de6408,2026-07-29T23:27:07.649Z,731375,31,31,0,0
2374efd6-cdf2-403f-a475-cbde5edbabf4,2026-07-29T21:27:17.224Z,732854,31,31,0,0
8b1f6297-27b5-4ad5-aa1e-2ddfb7dc366f,2026-07-29T19:27:42.752Z,801316,31,31,0,0
a0ed8e02-5c50-478a-b393-1e0570e9ad0a,2026-07-29T17:59:53.530Z,2817137,31,24,0,0
5b360545-4702-4600-b458-e3679699cda7,2026-07-29T15:30:01.417Z,759587,31,31,0,0
4748f516-f981-4613-88cc-387e5fac7c50,2026-07-29T13:27:16.127Z,745710,31,31,0,0
088962c5-9380-4c0c-9826-97be8081fc5d,2026-07-29T11:27:14.128Z,761179,31,31,0,0
b6860d7b-edbf-4ffb-bd41-768103019866,2026-07-29T09:27:19.440Z,721770,31,31,0,0
399256a4-9462-4d1d-8072-874516422c6c,2026-07-29T07:27:22.180Z,737902,31,31,0,0
